"datehour","Treatment","days","mean.temp","se.temp","mean.ph","se.ph"
"2019-07-06 12:00:00","MODERATE_conical",0,15.2166666666667,0.0166666666666669,7.09833333333333,0.00401386485959752
"2019-07-06 12:00:00","MODERATE_tank",0,15.8,0,7.36166666666667,0.00166666666666663
"2019-07-06 12:00:00","SEVERE_conical",0,15,0,6.81333333333333,0.00333333333333344
"2019-07-06 12:00:00","SEVERE_tank",0,15.6833333333333,0.0166666666666666,7.16333333333333,0.00210818510677887
"2019-07-06 13:00:00","AMBIENT_conical",0,15.1,0,7.78,0
"2019-07-06 13:00:00","MODERATE_conical",0,15.2,0,7.10166666666667,0.00307318148576439
"2019-07-06 13:00:00","MODERATE_tank",0,15.8,0,7.36,0
"2019-07-06 13:00:00","SEVERE_conical",0,15,0,6.81833333333333,0.00166666666666678
"2019-07-06 13:00:00","SEVERE_tank",0,15.6166666666667,0.0166666666666666,7.16,0
"2019-07-06 14:00:00","AMBIENT_conical",0,15.1,0,7.78,0
"2019-07-06 14:00:00","MODERATE_conical",0,15.2,0,7.10166666666667,0.00401386485959753
"2019-07-06 14:00:00","MODERATE_tank",0,15.8833333333333,0.0307318148576429,7.36166666666667,0.00166666666666663
"2019-07-06 14:00:00","SEVERE_conical",0,15,0,6.81333333333333,0.0049441323247305
"2019-07-06 14:00:00","SEVERE_tank",0,15.6666666666667,0.0210818510677891,7.16,0.00258198889747156
"2019-07-06 15:00:00","AMBIENT_conical",0,15.1166666666667,0.0166666666666666,7.78,0
"2019-07-06 15:00:00","MODERATE_conical",0,15.2333333333333,0.0210818510677895,7.10666666666667,0.00210818510677906
"2019-07-06 15:00:00","MODERATE_tank",0,16,0,7.36833333333333,0.00307318148576423
"2019-07-06 15:00:00","SEVERE_conical",0,15,0,6.81666666666667,0.00210818510677906
"2019-07-06 15:00:00","SEVERE_tank",0,15.7,0,7.165,0.00223606797749974
"2019-07-06 16:00:00","AMBIENT_conical",0,15.2,0,7.78,0
"2019-07-06 16:00:00","MODERATE_conical",0,15.3,0,7.10666666666667,0.00210818510677906
"2019-07-06 16:00:00","MODERATE_tank",0,16,0,7.38,0
"2019-07-06 16:00:00","SEVERE_conical",0,15.0833333333333,0.0166666666666666,6.815,0.00223606797749994
"2019-07-06 16:00:00","SEVERE_tank",0,15.7333333333333,0.0210818510677895,7.155,0.00341565025531992
"2019-07-06 17:00:00","AMBIENT_conical",0,15.2,0,7.79,0
"2019-07-06 17:00:00","MODERATE_conical",0,15.3,0,7.105,0.00223606797749994
"2019-07-06 17:00:00","MODERATE_tank",0,16,0,7.38166666666667,0.00307318148576423
"2019-07-06 17:00:00","SEVERE_conical",0,15.1,0,6.81166666666667,0.00166666666666678
"2019-07-06 17:00:00","SEVERE_tank",0,15.8,0,7.17,0.00774596669241482
"2019-07-06 18:00:00","AMBIENT_conical",0,15.2166666666667,0.0166666666666669,7.79,0
"2019-07-06 18:00:00","MODERATE_conical",0,15.3,0,7.10333333333333,0.00210818510677906
"2019-07-06 18:00:00","MODERATE_tank",0,16.1,0,7.38166666666667,0.00166666666666663
"2019-07-06 18:00:00","SEVERE_conical",0,15.1,0,6.81166666666667,0.00477260702109217
"2019-07-06 18:00:00","SEVERE_tank",0,15.85,0.0223606797749978,7.16333333333333,0.00557773351022719
"2019-07-06 19:00:00","AMBIENT_conical",0,15.3,0,7.79,0
"2019-07-06 19:00:00","MODERATE_conical",0,15.35,0.0223606797749978,7.10333333333333,0.00210818510677906
