"N","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
46,"tank.Ambient","29.3 ± 0.0138","17.7 ± 0.0779","7.68 ± 0.00364","34.5 ± 0.368","967 ± 8.95","1920 ± 4.64","66.4 ± 0.609","2020 ± 4.66","2080 ± 4.09","1.05 ± 0.01"
45,"tank.Moderate","29.2 ± 0.0156","17.8 ± 0.0596","7.21 ± 0.00311","108 ± 0.832","3030 ± 22.5","2020 ± 3.28","23.5 ± 0.165","2150 ± 3.76","2080 ± 3.22","0.372 ± 0.00262"
