"Date.fixed","ID","Treatment","Exprmt.Day","Tank.ID","mgTOTAL_AFDW","mgProtein.mgAFDW","µmol.CRE.g.protein"
20190808,"1013","EHAM","DAY15",35,19.5831,7.39951288810072,2.12594735404205
20190808,"1029","EHSM","DAY15",49,5.8286,7.25949622043141,0.774766541850509
20190808,"1045","EHSM","DAY15",17,4.6667,14.0030390591403,1.60136351360457
20190808,"1073","EHSA","DAY15",53,4.3875,17.9806829895099,1.09104665056731
20190808,"1085","EHAA","DAY15",27,4.7238,8.32885523505047,2.13507091665398
20190808,"1089","EHAA","DAY15",64,5.3818,13.7553992664168,1.02781196283157
20190808,"1093","EHAA","DAY15",29,4.497,7.25503716024469,0.0308184786213211
20190808,"1121","EHSA","DAY15",18,0.6667,13.0727522570219,4.8703863410323
20190808,"1129","EHAA","DAY15",32,3.75,14.6263551778204,0.686579738357455
20190811,"1197","EHSM","DAY18",22,9.6333,9.96306550351271,0.887120534486687
20190811,"1201","EHAM","DAY18",28,8.3217,5.54278260630706,4.04245501849833
20190811,"1217","EHAM","DAY18",68,9.3176,16.6054183623745,1.83162442225328
20190811,"1245","EHSM","DAY18",59,4.7238,19.6885009048989,1.33530587992451
20190811,"1253","EHAM","DAY18",35,3.7856,10.1014140863877,3.57514199387867
20190811,"1261","EHAM","DAY18",65,7.4643,18.2637728138097,1.36786216063781
20190811,"1289","EHSM","DAY18",54,6.4565,7.12410620964379,1.32024942826183
20190811,"1301","EHSA","DAY18",13,4.2658,10.3658610041214,0.724631731611964
20190811,"1321","EHSA","DAY18",56,7.2222,13.2902926541316,1.17979759014818
20190811,"1361","EHSA","DAY18",53,3.6111,2.20832505946283,-0.0386588298289659
20190811,"1377","EHAA","DAY18",64,6.7889,11.9607926995307,1.49585007297932
20190811,"1409","EHSA","DAY18",18,1.9059,4.89739728532976,-0.0274388671570535
20190811,"1413","EHAA","DAY18",67,4.8167,13.6687552816079,1.57896836719167
20190811,"1417","EHAA","DAY18",32,7.6322,16.1723849276349,1.00376387166373
