sample,mass,salinity,Sample.ID,Type, Notes
20190731_JUNK,59.4806,28,JUNK,JUNK,
20190731_CRM1,59.1064,33.623,CRM1,CRM,Bottle #180-0586; TA = 2224.47
20190731_CRM2,59.0444,33.623,CRM2,CRM,Bottle #180-0586; TA = 2224.47
