sample,mass,salinity,Sample.ID,Type, Notes
20190709_JUNK,59.3409,28,JUNK,JUNK,
20190709_CRM1,59.1069,33.623,CRM1,CRM,Bottle #180-0643; TA = 2224.47
20190709_CRM2,59.9841,33.623,CRM2,CRM,NEW Bottle #180-0823; TA = 2224.47
