sample,mass,salinity,Sample.ID,Type, Notes
20190810_JUNK,59.5372,28,JUNK,JUNK,
20190810_CRM1,59.1192,33.623,CRM1,CRM, Bottle #180-0866; TA = 2224.47
20190810_CRM2,59.1974,33.623,CRM2,CRM, Bottle #180-0866; TA = 2224.47
